country,age,men 1980 [%],men 2000  [%],men 2050 [%],women 1980 [%],women 2000 [%],women 2050 [%],men 1980,men 2000,men 2050,women 1980,women 2000,women 2050
GERMANY,65 - 69,4.05935681746426,4.79191152430933,6.47067140722104,6.01189090101124,5.1374448985845,6.51097101226677,1512000,1922690,2367370,2467358,2162240,2520994
GERMANY,60 - 64,3.02971384756149,6.86214919508577,7.16329676276194,4.28535677125409,6.82069798389312,6.95665979005594,1128486,2753345,2620775,1758766,2870685,2693561
GERMANY,55 - 59,4.80937131516717,6.40985240277468,6.74502380777517,6.41254100717139,6.1264833497783,6.44692005415095,1791360,2571867,2467745,2631790,2578505,2496194
GERMANY,50 - 54,6.05339503985257,6.02218332358264,6.69045672110356,5.97425807473872,5.65573226742313,6.30911751700469,2254725,2416320,2447781,2451913,2380376,2442838
GERMANY,45 - 49,6.63479319832213,7.13699704418745,6.36607720236919,5.82039597822652,6.69771949375981,5.95530312361285,2471280,2863624,2329103,2388766,2818926,2305844
GERMANY,40 - 44,8.48814732243536,8.03948214686529,6.19135811394457,7.34599347579098,7.31971138082422,5.7551619584004,3161604,3225734,2265180,3014891,3080709,2228351
GERMANY,35 - 39,7.49183296068867,9.21762509466361,6.19705972398249,6.47041685841459,8.28019051960081,5.72164109608648,2790504,3698448,2267266,2655543,3484954,2215372
GERMANY,30 - 34,6.72517563698611,8.76896954599399,6.09849512207582,5.77243209443405,7.85338086185827,5.58968062616837,2504945,3518431,2231205,2369081,3305319,2164278
GERMANY,25 - 29,7.69081124849922,6.47638672190723,5.71447829297841,6.67297380977019,5.88731217618919,5.20327255973533,2864618,2598563,2090708,2738675,2477843,2014664
GERMANY,20 - 24,8.28931938117361,5.82459414090252,5.06857279380286,7.05625848033019,5.34188870858876,4.58296744008285,3087546,2337040,1854396,2895980,2248286,1774487
GERMANY,15 - 19,9.17058641597454,5.90956396942312,4.55317567242714,7.86287285219081,5.34984587475226,4.08274495339789,3415794,2371133,1665832,3227025,2251635,1580805
GERMANY,10 - 14,8.38694798653754,6.04952131229125,4.28582592044308,7.23773909971705,5.46862362741854,3.82479005038615,3123910,2427289,1568019,2970462,2301626,1480927
GERMANY,5 - 9,5.98849365644955,5.322419039901,4.15813008182302,5.19721391845877,4.81593404347972,3.71448551933098,2230551,2135549,1521300,2133004,2026923,1438218
GERMANY,0 - 4,5.52403558058468,5.047693313276,4.02716524722725,4.76422808957524,4.56288713074615,3.60117214286432,2057553,2025319,1473385,1955301,1920421,1394344
FINLAND,85+,0.298639353924634,0.739732339370371,4.13200032239175,0.807097761513852,2.22786577485118,6.76923354996718,6901,18687,108173,19925,59039,179766
FINLAND,80 - 84,0.724333503259025,1.13364663856631,4.27081212544401,1.64805919824103,2.55574947406157,5.2414622050562,16738,28638,111807,40686,67728,139194
FINLAND,75 - 79,1.57135104772604,2.26076168640131,4.79103170325597,2.9495828205849,3.95075518155489,5.20245079045184,36311,57111,125426,72817,104696,138158
FINLAND,70 - 74,2.74955059126351,3.476152172605,5.72623516339035,4.37007488084928,4.60859803209404,5.83356209235237,63537,87814,149909,107885,122129,154918
FINLAND,65 - 69,3.59423129685037,4.10607461689251,6.14267057254712,5.04823953446358,4.62701295270799,6.03720468905154,83056,103727,160811,124627,122617,160326
FINLAND,60 - 64,3.77351876871094,4.89315109271534,6.13667347483683,4.94575735947587,5.07380119055481,5.92645896477412,87199,123610,160654,122097,134457,157385
FINLAND,55 - 59,4.9721440150527,5.82978120358612,6.44229626961423,5.80174681474868,5.65534287412383,6.19581094224993,114897,147271,168655,143229,149868,164538
FINLAND,50 - 54,5.87831820302283,8.50884179458028,6.02926048909579,5.84298272547496,7.95871737059084,5.74379065179564,135837,214949,157842,144247,210908,152534
FINLAND,45 - 49,5.82868201421664,8.0423278747708,5.91180140973814,5.46278600830713,7.50079716229092,5.58469487312441,134690,203164,154767,134861,198773,148309
FINLAND,40 - 44,6.26908959353717,7.72410085726139,5.99919860439515,5.764966650761,7.1414797973604,5.65081846776268,144867,195125,157055,142321,189251,150065
FINLAND,35 - 39,7.0340581284344,7.66207053801307,6.00607425782096,6.2918384492057,7.02766955028726,5.64076436766677,162544,193558,157235,155328,186235,149798
FINLAND,30 - 34,9.85657002251155,7.10874583957463,5.95618757240923,8.66991099038288,6.51495740606221,5.58823451885106,227767,179580,155929,214036,172648,148403
FINLAND,25 - 29,9.03348343916905,6.18387259202022,5.80622193157732,8.015807369157,5.62670163489024,5.46001650077402,208747,156216,152003,197888,149109,144998
FINLAND,20 - 24,8.51842684006588,6.62441849049792,5.55793444675628,7.58611135640222,6.04911274421939,5.23773428030153,196845,167345,145503,187280,160303,139095
FINLAND,15 - 19,8.43382461764556,6.72187774128884,5.38848778788456,7.56994914777768,6.12016867765398,5.07728289262861,194890,169807,141067,186881,162186,134834
FINLAND,10 - 14,7.74108171406266,6.42273088579454,5.29998284906451,6.9593498174359,5.85352968368223,4.99617228736049,178882,162250,138750,171807,155120,132680
FINLAND,5 - 9,6.63528090101583,6.61198867540923,5.24241835066062,5.92800647460508,6.07047103329214,4.94360478273918,153329,167031,137243,146346,160869,131284
FINLAND,0 - 4,7.08763232350159,5.9498833022456,5.1607126691172,6.3379351745559,5.43745813718739,4.87070314309244,163782,150305,135104,156466,144094,129348
France ,85+,0.522970496438882,1.20311971117157,5.60066868421947,1.58921918049817,2.97855746986273,9.43364494860675,137606,344175,1737647,438110,902170,3109822
France ,80 - 84,1.1406796564188,1.21404016145907,4.40554680689619,2.34280601456215,2.02385876796863,5.51617095131348,300140,347299,1366852,645856,613003,1818418
France ,75 - 79,2.2921527099997,2.93553169501643,5.22138642066679,3.60681402163538,4.16186525306711,5.83487349182724,603120,839764,1619972,994313,1260580,1923479
France ,70 - 74,3.27033473174969,3.7230380846509,5.24035778589535,4.42375415278777,4.5944802807293,5.44325167899673,860503,1065045,1625858,1219524,1391614,1794380
France ,65 - 69,3.86952789490788,4.34653497153604,5.79293505843187,4.66533462112407,4.82330726420106,5.7689858724446,1018165,1243408,1797299,1286122,1460923,1901759
France ,60 - 64,3.10167649961617,4.51610257798483,5.98452779769137,3.38814448512904,4.59897698897049,5.79400921371013,816125,1291916,1856742,934031,1392976,1910008
France ,55 - 59,5.57674308708565,4.82976489675787,5.87623372696177,5.80819327714327,4.62680903777608,5.57022488730699,1467374,1381645,1823143,1601181,1401406,1836237
France ,50 - 54,5.95714952917795,7.10636067639535,6.02450754867593,5.84136261860198,6.74116983680746,5.63719243267951,1567468,2032908,1869146,1610325,2041821,1858313
France ,45 - 49,6.15079599593849,7.25660425941607,6.05943342594686,5.81766453157773,6.99149980175856,5.64687839808875,1618421,2075888,1879982,1603792,2117643,1861506
France ,40 - 44,5.83695897099096,7.3191521521799,5.92796824671774,5.38916191042348,7.09856239709282,5.48980983656048,1535843,2093781,1839194,1485664,2150071,1809728
France ,35 - 39,5.84513382919365,7.52441397049989,5.85340427063932,5.28931653382123,7.23640202196038,5.39119985298446,1537994,2152500,1816060,1458139,2191821,1777221
France ,30 - 34,8.32730353613354,7.3718667457572,5.74179359528515,7.56470651480835,7.02008460348558,5.27726159405206,2191112,2108861,1781432,2085410,2126301,1739661
France ,25 - 29,8.17600215077441,7.22871236670033,5.54567557624636,7.61412680221358,6.80766631308189,5.11313711158991,2151301,2067909,1720585,2099034,2061962,1685557
France ,20 - 24,8.06027717063863,6.58291664742596,5.50790044874402,7.59339959124518,6.09570071441865,5.04276901274925,2120851,1883167,1708865,2093320,1846316,1662360
France ,15 - 19,8.39456464281476,6.99904033571785,5.54856028094897,7.74171123766697,6.3316260258776,4.97661141186915,2208810,2002207,1721480,2134206,1917775,1640551
France ,10 - 14,8.28242732708778,6.86345057075258,5.38517640823387,7.49490362354742,6.19483959479046,4.82209705731695,2179304,1963419,1670789,2066167,1876344,1589615
France ,5 - 9,8.126242309562,6.48137813286098,5.22472558722757,7.39974853112125,5.83342574916166,4.68812253107229,2138208,1854120,1621008,2039935,1766876,1545450
France ,0 - 4,7.06907086294692,6.49796505239177,5.05919833057143,6.42965048930945,5.84116787898955,4.55375971683127,1860041,1858865,1569652,1772502,1769221,1501157
GREECE,85+,0.69536565851956,1.0608154227779,4.16284253935396,1.05533157553378,1.62113359601063,5.56593292670296,32914,57348,218395,51808,89348,298242
GREECE,80 - 84,1.17925260762122,1.48550784956798,5.09578664562324,1.64451491576577,2.02253417066864,6.22147091257808,55818,80307,267340,80732,111471,333368
GREECE,75 - 79,2.32533622685222,2.68966320941615,6.50895536754986,2.93697424899698,3.35071411308671,7.44852843610166,110066,145404,341479,144181,184673,399118
GREECE,70 - 74,3.43774381583226,4.47509540272621,7.43233081631895,3.88481306812071,5.29285204697419,7.88720849918828,162720,241925,389922,190712,291713,422624
GREECE,65 - 69,4.27360232326581,5.31356651738892,7.28918217523033,4.80437825717107,5.92118011732661,7.38244462331387,202284,287253,382412,235855,326343,395577
GREECE,60 - 64,4.04513771151304,5.54602915633099,6.39935421092409,4.57293374355899,6.20159623997451,6.32532756837137,191470,299820,335729,224493,341798,338933
GREECE,55 - 59,4.97779896085996,5.09889882224109,6.17386174433576,5.1493450621368,5.31222988061948,6.04908566018588,235616,275648,323899,252790,292781,324131
GREECE,50 - 54,6.57153716289375,6.22501169989808,5.93800005527711,6.80339316152961,6.312819199006,5.74570851794406,311053,336526,311525,333990,347928,307875
